!;Syntax:  NOT, \style{+B}!\style{-B}Logical NOT.;
!=;Syntax:  <>, \style{+B}!=\style{-B}Not equal:URL: http://dev.;
%;Syntax:  N \style{+B}%\style{-B} MModulo operation.;
&;Syntax:  \style{+B}&\style{-B}Bitwise AND:URL: http://dev.;
IFNULL;Syntax:  \style{+B}IFNULL\style{-B}(expr1,expr2)If expr1 is not NULL, \style{+B}IFNULL\style{-B}() returns expr1; otherwise it returnsexpr2.;
IN;Syntax:  expr \style{+B}IN\style{-B} (value,.;
INET_ATON;Syntax:  \style{+B}INET_ATON\style{-B}(expr)Given the dotted-quad representation of a network address as a string,returns an integer that represents the numeric value of the address.;
INET_NTOA;Syntax:  \style{+B}INET_NTOA\style{-B}(expr)Given a numeric network address (4 or 8 byte), returns the dotted-quadrepresentation of the address as a string.;
INSERT;Syntax:  \style{+B}INSERT\style{-B} [LOW_PRIORITY | DELAYED | HIGH_PRIORITY] [IGNORE]    [INTO] tbl_name [(col_name,.;
INSERT DELAYED;Syntax:  \style{+B}INSERT DELAYED\style{-B} .;
INSERT FUNCTION;Syntax:  INSERT(str,pos,len,newstr)Returns the string str, with the substring beginning at position posand len characters long replaced by the string newstr.;
INSERT SELECT;Syntax:  INSERT [LOW_PRIORITY | HIGH_PRIORITY] [IGNORE]    [INTO] tbl_name [(col_name,.;
INSTALL PLUGIN;Syntax:  \style{+B}INSTALL PLUGIN\style{-B} plugin_name SONAME 'plugin_library'This statement installs a plugin.;
INSTR;Syntax:  \style{+B}INSTR\style{-B}(str,substr)Returns the position of the first occurrence of substring substr instring str.;
INT;\style{+B}INT\style{-B}[(M)] [UNSIGNED] [ZEROFILL]A normal-size integer.;
INTEGER;\style{+B}INTEGER\style{-B}[(M)] [UNSIGNED] [ZEROFILL]This type is a synonym for INT.;
INTERIORRINGN;InteriorRingN(poly,N)Returns the N-th interior ring for the Polygon value poly as aLineString.;
INTERSECTS;Intersects(g1,g2)Returns 1 or 0 to indicate whether g1 spatially intersects g2.;
INTERVAL;Syntax:  \style{+B}INTERVAL\style{-B}(N,N1,N2,N3,.;
IS;Syntax:  \style{+B}IS\style{-B} boolean_valueTests a value against a boolean value, where boolean_value can be TRUE,FALSE, or UNKNOWN.;
IS NOT;Syntax:  \style{+B}IS NOT\style{-B} boolean_valueTests a value against a boolean value, where boolean_value can be TRUE,FALSE, or UNKNOWN.;
IS NOT NULL;Syntax:  \style{+B}IS NOT NULL\style{-B}Tests whether a value is not NULL.;
IS NULL;Syntax:  \style{+B}IS NULL\style{-B}Tests whether a value is NULL.;
ISEMPTY;IsEmpty(g)Returns 1 if the geometry value g is the empty geometry, 0 if it is notempty, and -1 if the argument is NULL.;
ISNULL;Syntax:  \style{+B}ISNULL\style{-B}(expr)If expr is NULL, \style{+B}ISNULL\style{-B}() returns 1, otherwise it returns 0.;
ISOLATION;Syntax:  SET [GLOBAL | SESSION] TRANSACTION \style{+B}ISOLATION\style{-B} LEVEL  {       READ UNCOMMITTED     | READ COMMITTED     | REPEATABLE READ     | SERIALIZABLE   }This statement sets the transaction isolation level for the nexttransaction, globally, or for the current session:o The default behavior (without any SESSION or GLOBAL keyword) is to  set the isolation level for the next (not started) transaction.;
ISSIMPLE;IsSimple(g)Currently, this function is a placeholder and should not be used.;
IS_FREE_LOCK;Syntax:  \style{+B}IS_FREE_LOCK\style{-B}(str)Checks whether the lock named str is free to use (that is, not locked).;
IS_USED_LOCK;Syntax:  \style{+B}IS_USED_LOCK\style{-B}(str)Checks whether the lock named str is in use (that is, locked).;
ITERATE;Syntax:  \style{+B}ITERATE\style{-B} label\style{+B}ITERATE\style{-B} can appear only within LOOP, REPEAT, and WHILE statements.;
JOIN;MySQL supports the following \style{+B}JOIN\style{-B} syntaxes for the table_referencespart of SELECT statements and multiple-table DELETE and UPDATEstatements:table_references:    table_reference [, table_reference] .;
KILL;Syntax:  \style{+B}KILL\style{-B} [CONNECTION | QUERY] thread_idEach connection to mysqld runs in a separate thread.;
LAST_DAY;Syntax:  \style{+B}LAST_DAY\style{-B}(date)Takes a date or datetime value and returns the corresponding value forthe last day of the month.;
LAST_INSERT_ID;Syntax:  \style{+B}LAST_INSERT_ID\style{-B}(), \style{+B}LAST_INSERT_ID\style{-B}(expr)For MySQL 5.;
LCASE;Syntax:  \style{+B}LCASE\style{-B}(str)\style{+B}LCASE\style{-B}() is a synonym for LOWER().;
LEAST;Syntax:  \style{+B}LEAST\style{-B}(value1,value2,.;
LEAVE;Syntax:  \style{+B}LEAVE\style{-B} labelThis statement is used to exit the flow control construct that has thegiven label.;
LEFT;Syntax:  \style{+B}LEFT\style{-B}(str,len)Returns the leftmost len characters from the string str, or NULL if anyargument is NULL.;
LENGTH;Syntax:  \style{+B}LENGTH\style{-B}(str)Returns the length of the string str, measured in bytes.;
LIKE;Syntax:  expr \style{+B}LIKE\style{-B} pat [ESCAPE 'escape_char']Pattern matching using SQL simple regular expression comparison.;
LINEFROMTEXT;LineFromText(wkt[,srid]), LineStringFromText(wkt[,srid])Constructs a LINESTRING value using its WKT representation and SRID.;
LINEFROMWKB;LineFromWKB(wkb[,srid]), LineStringFromWKB(wkb[,srid])Constructs a LINESTRING value using its WKB representation and SRID.;
LINESTRING;LineString(pt1,pt2,.;
LN;Syntax:  \style{+B}LN\style{-B}(X)Returns the natural logarithm of X; that is, the base-e logarithm of X.;
LOAD DATA;Syntax:  \style{+B}LOAD DATA\style{-B} [LOW_PRIORITY | CONCURRENT] [LOCAL] INFILE 'file_name'    [REPLACE | IGNORE]    INTO TABLE tbl_name    [CHARACTER SET charset_name]    [{FIELDS | COLUMNS}        [TERMINATED BY 'string']        [[OPTIONALLY] ENCLOSED BY 'char']        [ESCAPED BY 'char']    ]    [LINES        [STARTING BY 'string']        [TERMINATED BY 'string']    ]    [IGNORE number LINES]    [(col_name_or_user_var,.;
LOAD DATA FROM MASTER;Syntax:  \style{+B}LOAD DATA FROM MASTER\style{-B}This feature is deprecated.;
LOAD INDEX;Syntax:  \style{+B}LOAD INDEX\style{-B} INTO CACHE  tbl_index_list [, tbl_index_list] .;
LOAD TABLE FROM MASTER;Syntax:  LOAD TABLE tbl_name FROM MASTERThis feature is deprecated.;
LOAD_FILE;Syntax:  \style{+B}LOAD_FILE\style{-B}(file_name)Reads the file and returns the file contents as a string.;
LOCALTIME;Syntax:  \style{+B}LOCALTIME\style{-B}, \style{+B}LOCALTIME\style{-B}()\style{+B}LOCALTIME\style{-B} and \style{+B}LOCALTIME\style{-B}() are synonyms for NOW().;
LOCALTIMESTAMP;Syntax:  \style{+B}LOCALTIMESTAMP\style{-B}, \style{+B}LOCALTIMESTAMP\style{-B}()\style{+B}LOCALTIMESTAMP\style{-B} and \style{+B}LOCALTIMESTAMP\style{-B}() are synonyms for NOW().;
LOCATE;Syntax:  \style{+B}LOCATE\style{-B}(substr,str), \style{+B}LOCATE\style{-B}(substr,str,pos)The first syntax returns the position of the first occurrence ofsubstring substr in string str.;
LOCK;Syntax:  \style{+B}LOCK\style{-B} TABLES    tbl_name [[AS] alias] lock_type    [, tbl_name [[AS] alias] lock_type] .;
LOG;Syntax:  \style{+B}LOG\style{-B}(X), \style{+B}LOG\style{-B}(B,X)If called with one parameter, this function returns the naturallogarithm of X.;
LOG10;Syntax:  \style{+B}LOG10\style{-B}(X)Returns the base-10 logarithm of X.;
LOG2;Syntax:  \style{+B}LOG2\style{-B}(X)Returns the base-2 logarithm of X.;
LONGBLOB;\style{+B}LONGBLOB\style{-B}A BLOB column with a maximum length of 4,294,967,295 or 4GB (232 - 1)bytes.;
LONGTEXT;\style{+B}LONGTEXT\style{-B} [CHARACTER SET charset_name] [COLLATE collation_name]A TEXT column with a maximum length of 4,294,967,295 or 4GB (232 - 1)characters.;
LOOP;Syntax:  [begin_label:] \style{+B}LOOP\style{-B}    statement_listEND \style{+B}LOOP\style{-B} [end_label]\style{+B}LOOP\style{-B} implements a simple loop construct, enabling repeated execution ofthe statement list, which consists of one or more statements, eachterminated by a semicolon (;) statement delimiter.;
LOWER;Syntax:  \style{+B}LOWER\style{-B}(str)Returns the string str with all characters changed to lowercaseaccording to the current character set mapping.;
LPAD;Syntax:  \style{+B}LPAD\style{-B}(str,len,padstr)Returns the string str, left-padded with the string padstr to a lengthof len characters.;
LTRIM;Syntax:  \style{+B}LTRIM\style{-B}(str)Returns the string str with leading space characters removed.;
MAKEDATE;Syntax:  \style{+B}MAKEDATE\style{-B}(year,dayofyear)Returns a date, given year and day-of-year values.;
MAKETIME;Syntax:  \style{+B}MAKETIME\style{-B}(hour,minute,second)Returns a time value calculated from the hour, minute, and secondarguments.;
MAKE_SET;Syntax:  \style{+B}MAKE_SET\style{-B}(bits,str1,str2,.;
MASTER_POS_WAIT;Syntax:  \style{+B}MASTER_POS_WAIT\style{-B}(log_name,log_pos[,timeout])This function is useful for control of master/slave synchronization.;
MATCH AGAINST;Syntax:  MATCH (col1,col2,.;
MAX;Syntax:  \style{+B}MAX\style{-B}([DISTINCT] expr)Returns the maximum value of expr.;
MBR DEFINITION;Its MBR (Minimum Bounding Rectangle), or Envelope.;
MBRCONTAINS;MBRContains(g1,g2)Returns 1 or 0 to indicate whether the Minimum Bounding Rectangle of g1contains the Minimum Bounding Rectangle of g2.;
MBRDISJOINT;MBRDisjoint(g1,g2)Returns 1 or 0 to indicate whether the Minimum Bounding Rectangles ofthe two geometries g1 and g2 are disjoint (do not intersect).;
MBREQUAL;MBREqual(g1,g2)Returns 1 or 0 to indicate whether the Minimum Bounding Rectangles ofthe two geometries g1 and g2 are the same.;
MBRINTERSECTS;MBRIntersects(g1,g2)Returns 1 or 0 to indicate whether the Minimum Bounding Rectangles ofthe two geometries g1 and g2 intersect.;
MBROVERLAPS;MBROverlaps(g1,g2)Returns 1 or 0 to indicate whether the Minimum Bounding Rectangles ofthe two geometries g1 and g2 overlap.;
MBRTOUCHES;MBRTouches(g1,g2)Returns 1 or 0 to indicate whether the Minimum Bounding Rectangles ofthe two geometries g1 and g2 touch.;
MBRWITHIN;MBRWithin(g1,g2)Returns 1 or 0 to indicate whether the Minimum Bounding Rectangle of g1is within the Minimum Bounding Rectangle of g2.;
MD5;Syntax:  \style{+B}MD5\style{-B}(str)Calculates an \style{+B}MD5\style{-B} 128-bit checksum for the string.;
MEDIUMBLOB;\style{+B}MEDIUMBLOB\style{-B}A BLOB column with a maximum length of 16,777,215 (224 - 1) bytes.;
MEDIUMINT;\style{+B}MEDIUMINT\style{-B}[(M)] [UNSIGNED] [ZEROFILL]A medium-sized integer.;
MEDIUMTEXT;\style{+B}MEDIUMTEXT\style{-B} [CHARACTER SET charset_name] [COLLATE collation_name]A TEXT column with a maximum length of 16,777,215 (224 - 1) characters.;
MERGE;The \style{+B}MERGE\style{-B} storage engine, also known as the MRG_MyISAM engine, is acollection of identical MyISAM tables that can be used as one.;
MICROSECOND;Syntax:  \style{+B}MICROSECOND\style{-B}(expr)Returns the microseconds from the time or datetime expression expr as anumber in the range from 0 to 999999.;
MID;Syntax:  \style{+B}MID\style{-B}(str,pos,len)\style{+B}MID\style{-B}(str,pos,len) is a synonym for SUBSTRING(str,pos,len).;
MIN;Syntax:  \style{+B}MIN\style{-B}([DISTINCT] expr)Returns the minimum value of expr.;
MINUTE;Syntax:  \style{+B}MINUTE\style{-B}(time)Returns the minute for time, in the range 0 to 59.;
MLINEFROMTEXT;MLineFromText(wkt[,srid]), MultiLineStringFromText(wkt[,srid])Constructs a MULTILINESTRING value using its WKT representation andSRID.;
MLINEFROMWKB;MLineFromWKB(wkb[,srid]), MultiLineStringFromWKB(wkb[,srid])Constructs a MULTILINESTRING value using its WKB representation andSRID.;
MOD;Syntax:  \style{+B}MOD\style{-B}(N,M), N % M, N \style{+B}MOD\style{-B} MModulo operation.;
MONTH;Syntax:  \style{+B}MONTH\style{-B}(date)Returns the month for date, in the range 1 to 12 for January toDecember, or 0 for dates such as '0000-00-00' or '2008-00-00' that havea zero month part.;
MONTHNAME;Syntax:  \style{+B}MONTHNAME\style{-B}(date)Returns the full name of the month for date.;
MPOINTFROMTEXT;MPointFromText(wkt[,srid]), MultiPointFromText(wkt[,srid])Constructs a MULTIPOINT value using its WKT representation and SRID.;
MPOINTFROMWKB;MPointFromWKB(wkb[,srid]), MultiPointFromWKB(wkb[,srid])Constructs a MULTIPOINT value using its WKB representation and SRID.;
MPOLYFROMTEXT;MPolyFromText(wkt[,srid]), MultiPolygonFromText(wkt[,srid])Constructs a MULTIPOLYGON value using its WKT representation and SRID.;
MPOLYFROMWKB;MPolyFromWKB(wkb[,srid]), MultiPolygonFromWKB(wkb[,srid])Constructs a MULTIPOLYGON value using its WKB representation and SRID.;
MULTILINESTRING;MultiLineString(ls1,ls2,.;
MULTIPOINT;MultiPoint(pt1,pt2,.;
MULTIPOLYGON;MultiPolygon(poly1,poly2,.;
NAME_CONST;Syntax:  \style{+B}NAME_CONST\style{-B}(name,value)Returns the given value.;
NOT BETWEEN;Syntax:  expr \style{+B}NOT BETWEEN\style{-B} min AND maxThis is the same as NOT (expr BETWEEN min AND max).;
NOT IN;Syntax:  expr \style{+B}NOT IN\style{-B} (value,.;
NOT LIKE;Syntax:  expr \style{+B}NOT LIKE\style{-B} pat [ESCAPE 'escape_char']This is the same as NOT (expr LIKE pat [ESCAPE 'escape_char']).;
NOT REGEXP;Syntax:  expr \style{+B}NOT REGEXP\style{-B} pat, expr NOT RLIKE patThis is the same as NOT (expr REGEXP pat).;
NOW;Syntax:  \style{+B}NOW\style{-B}()Returns the current date and time as a value in 'YYYY-MM-DD HH:MM:SS'or YYYYMMDDHHMMSS.;
NULLIF;Syntax:  \style{+B}NULLIF\style{-B}(expr1,expr2)Returns NULL if expr1 = expr2 is true, otherwise returns expr1.;
NUMGEOMETRIES;NumGeometries(gc)Returns the number of geometries in the GeometryCollection value gc.;
NUMINTERIORRINGS;NumInteriorRings(poly)Returns the number of interior rings in the Polygon value poly.;
NUMPOINTS;NumPoints(ls)Returns the number of Point objects in the LineString value ls.;
OCT;Syntax:  \style{+B}OCT\style{-B}(N)Returns a string representation of the octal value of N, where N is alonglong (BIGINT) number.;
OCTET_LENGTH;Syntax:  \style{+B}OCTET_LENGTH\style{-B}(str)\style{+B}OCTET_LENGTH\style{-B}() is a synonym for LENGTH().;
OLD_PASSWORD;Syntax:  \style{+B}OLD_PASSWORD\style{-B}(str)\style{+B}OLD_PASSWORD\style{-B}() was added to MySQL when the implementation of PASSWORD()was changed to improve security.;
OPEN;Syntax:  \style{+B}OPEN\style{-B} cursor_nameThis statement opens a previously declared cursor.;
OPTIMIZE TABLE;Syntax:  OPTIMIZE [LOCAL | NO_WRITE_TO_BINLOG] TABLE tbl_name [, tbl_name] .;
ORD;Syntax:  \style{+B}ORD\style{-B}(str)If the leftmost character of the string str is a multi-byte character,returns the code for that character, calculated from the numeric valuesof its constituent bytes using this formula:  (1st byte code)+ (2nd byte code x 256)+ (3rd byte code x 2562) .;
OVERLAPS;Overlaps(g1,g2)Returns 1 or 0 to indicate whether g1 spatially overlaps g2.;
PASSWORD;Syntax:  \style{+B}PASSWORD\style{-B}(str)Calculates and returns a password string from the plaintext passwordstr and returns a binary string, or NULL if the argument was NULL.;
PERIOD_ADD;Syntax:  \style{+B}PERIOD_ADD\style{-B}(P,N)Adds N months to period P (in the format YYMM or YYYYMM).;
PERIOD_DIFF;Syntax:  \style{+B}PERIOD_DIFF\style{-B}(P1,P2)Returns the number of months between periods P1 and P2.;
PI;Syntax:  \style{+B}PI\style{-B}()Returns the value of ? (pi).;
POINT;Point(x,y)Constructs a WKB Point using its coordinates.;
POINTFROMTEXT;PointFromText(wkt[,srid])Constructs a POINT value using its WKT representation and SRID.;
POINTFROMWKB;PointFromWKB(wkb[,srid])Constructs a POINT value using its WKB representation and SRID.;
POINTN;PointN(ls,N)Returns the N-th Point in the Linestring value ls.;
POLYFROMTEXT;PolyFromText(wkt[,srid]), PolygonFromText(wkt[,srid])Constructs a POLYGON value using its WKT representation and SRID.;
POLYFROMWKB;PolyFromWKB(wkb[,srid]), PolygonFromWKB(wkb[,srid])Constructs a POLYGON value using its WKB representation and SRID.;
POLYGON;Polygon(ls1,ls2,.;
POSITION;Syntax:  \style{+B}POSITION\style{-B}(substr IN str)\style{+B}POSITION\style{-B}(substr IN str) is a synonym for LOCATE(substr,str).;
POW;Syntax:  \style{+B}POW\style{-B}(X,Y)Returns the value of X raised to the power of Y.;
POWER;Syntax:  \style{+B}POWER\style{-B}(X,Y)This is a synonym for POW().;
PREPARE;Syntax:  \style{+B}PREPARE\style{-B} stmt_name FROM preparable_stmtThe \style{+B}PREPARE\style{-B} statement prepares a statement and assigns it a name,stmt_name, by which to refer to the statement later.;
PROCEDURE ANALYSE;Syntax:  analyse([max_elements[,max_memory]])This procedure is defined in the sql/sql_analyse.;
PURGE BINARY LOGS;Syntax:  PURGE { BINARY | MASTER } LOGS    { TO 'log_name' | BEFORE datetime_expr }The binary log is a set of files that contain information about datamodifications made by the MySQL server.;
QUARTER;Syntax:  \style{+B}QUARTER\style{-B}(date)Returns the quarter of the year for date, in the range 1 to 4.;
QUOTE;Syntax:  \style{+B}QUOTE\style{-B}(str)Quotes a string to produce a result that can be used as a properlyescaped data value in an SQL statement.;
RADIANS;Syntax:  \style{+B}RADIANS\style{-B}(X)Returns the argument X, converted from degrees to radians.;
RAND;Syntax:  \style{+B}RAND\style{-B}(), \style{+B}RAND\style{-B}(N)Returns a random floating-point value v in the range 0 <= v < 1.;
REGEXP;Syntax:  expr \style{+B}REGEXP\style{-B} pat, expr RLIKE patPerforms a pattern match of a string expression expr against a patternpat.;
RELEASE_LOCK;Syntax:  \style{+B}RELEASE_LOCK\style{-B}(str)Releases the lock named by the string str that was obtained withGET_LOCK().;
RENAME TABLE;Syntax:  \style{+B}RENAME TABLE\style{-B} tbl_name TO new_tbl_name    [, tbl_name2 TO new_tbl_name2] .;
RENAME USER;Syntax:  \style{+B}RENAME USER\style{-B} old_user TO new_user    [, old_user TO new_user] .;
REPAIR TABLE;Syntax:  REPAIR [LOCAL | NO_WRITE_TO_BINLOG] TABLE    tbl_name [, tbl_name] .;
REPEAT FUNCTION;Syntax:  REPEAT(str,count)Returns a string consisting of the string str repeated count times.;
REPEAT LOOP;Syntax:  [begin_label:] REPEAT    statement_listUNTIL search_conditionEND REPEAT [end_label]The statement list within a REPEAT statement is repeated until thesearch_condition is true.;
REPLACE;Syntax:  \style{+B}REPLACE\style{-B} [LOW_PRIORITY | DELAYED]    [INTO] tbl_name [(col_name,.;
REPLACE FUNCTION;Syntax:  REPLACE(str,from_str,to_str)Returns the string str with all occurrences of the string from_strreplaced by the string to_str.;
RESET;Syntax:  \style{+B}RESET\style{-B} reset_option [, reset_option] .;
RESET MASTER;Syntax:  \style{+B}RESET MASTER\style{-B}Deletes all binary logs listed in the index file, resets the binary logindex file to be empty, and creates a new binary log file.;
RESET SLAVE;Syntax:  \style{+B}RESET SLAVE\style{-B}\style{+B}RESET SLAVE\style{-B} makes the slave forget its replication position in themaster's binary logs.;
RESTORE TABLE;Syntax:  \style{+B}RESTORE TABLE\style{-B} tbl_name [, tbl_name] .;
RETURN;Syntax:  \style{+B}RETURN\style{-B} exprThe \style{+B}RETURN\style{-B} statement terminates execution of a stored function andreturns the value expr to the function caller.;
REVERSE;Syntax:  \style{+B}REVERSE\style{-B}(str)Returns the string str with the order of the characters reversed.;
REVOKE;Syntax:  \style{+B}REVOKE\style{-B}    priv_type [(column_list)]      [, priv_type [(column_list)]] .;
RIGHT;Syntax:  \style{+B}RIGHT\style{-B}(str,len)Returns the rightmost len characters from the string str, or NULL ifany argument is NULL.;
ROUND;Syntax:  \style{+B}ROUND\style{-B}(X), \style{+B}ROUND\style{-B}(X,D)Rounds the argument X to D decimal places.;
ROW_COUNT;Syntax:  \style{+B}ROW_COUNT\style{-B}()\style{+B}ROW_COUNT\style{-B}() returns the number of rows updated, inserted, or deleted bythe preceding statement.;
RPAD;Syntax:  \style{+B}RPAD\style{-B}(str,len,padstr)Returns the string str, right-padded with the string padstr to a lengthof len characters.;
RTRIM;Syntax:  \style{+B}RTRIM\style{-B}(str)Returns the string str with trailing space characters removed.;
SAVEPOINT;Syntax:  \style{+B}SAVEPOINT\style{-B} identifierROLLBACK [WORK] TO [\style{+B}SAVEPOINT\style{-B}] identifierRELEASE \style{+B}SAVEPOINT\style{-B} identifierInnoDB supports the SQL statements \style{+B}SAVEPOINT\style{-B}, ROLLBACK TO \style{+B}SAVEPOINT\style{-B},RELEASE \style{+B}SAVEPOINT\style{-B} and the optional WORK keyword for ROLLBACK.;
SCHEMA;Syntax:  \style{+B}SCHEMA\style{-B}()This function is a synonym for DATABASE().;
SECOND;Syntax:  \style{+B}SECOND\style{-B}(time)Returns the second for time, in the range 0 to 59.;
SEC_TO_TIME;Syntax:  \style{+B}SEC_TO_TIME\style{-B}(seconds)Returns the seconds argument, converted to hours, minutes, and seconds,as a TIME value.;
SELECT;Syntax:  \style{+B}SELECT\style{-B}    [ALL | DISTINCT | DISTINCTROW ]      [HIGH_PRIORITY]      [STRAIGHT_JOIN]      [SQL_SMALL_RESULT] [SQL_BIG_RESULT] [SQL_BUFFER_RESULT]      [SQL_CACHE | SQL_NO_CACHE] [SQL_CALC_FOUND_ROWS]    select_expr, .;
SELECT INTO;Syntax:  SELECT col_name [, col_name] .;
SESSION_USER;Syntax:  \style{+B}SESSION_USER\style{-B}()\style{+B}SESSION_USER\style{-B}() is a synonym for USER().;
SET;Syntax:  \style{+B}SET\style{-B} variable_assignment [, variable_assignment] .;
SET DATA TYPE;SET('value1','value2',.;
SET GLOBAL SQL_SLAVE_SKIP_COUNTER;Syntax:  \style{+B}SET GLOBAL SQL_SLAVE_SKIP_COUNTER\style{-B} = NThis statement skips the next N events from the master.;
SET PASSWORD;Syntax:  \style{+B}SET PASSWORD\style{-B} [FOR user] =    {        PASSWORD('some password')      | OLD_PASSWORD('some password')      | 'encrypted password'    }The \style{+B}SET PASSWORD\style{-B} statement assigns a password to an existing MySQL useraccount.;
SET SQL_LOG_BIN;Syntax:  \style{+B}SET SQL_LOG_BIN\style{-B} = {0|1}Disables or enables binary logging for the current connection(SQL_LOG_BIN is a session variable) if the client has the SUPERprivilege.;
SET VARIABLE;Syntax:  SET var_name = expr [, var_name = expr] .;
SHA1;Syntax:  \style{+B}SHA1\style{-B}(str), SHA(str)Calculates an SHA-1 160-bit checksum for the string, as described inRFC 3174 (Secure Hash Algorithm).;
SHOW;\style{+B}SHOW\style{-B} has many forms that provide information about databases, tables,columns, or status information about the server.;
SHOW AUTHORS;Syntax:  \style{+B}SHOW AUTHORS\style{-B}The \style{+B}SHOW AUTHORS\style{-B} statement displays information about the people whowork on MySQL.;
SHOW BINARY LOGS;Syntax:  \style{+B}SHOW BINARY LOGS\style{-B}SHOW MASTER LOGSLists the binary log files on the server.;
SHOW BINLOG EVENTS;Syntax:  \style{+B}SHOW BINLOG EVENTS\style{-B}   [IN 'log_name'] [FROM pos] [LIMIT [offset,] row_count]Shows the events in the binary log.;
SHOW CHARACTER SET;Syntax:  \style{+B}SHOW CHARACTER SET\style{-B}    [LIKE 'pattern' | WHERE expr]The \style{+B}SHOW CHARACTER SET\style{-B} statement shows all available character sets.;
SHOW COLLATION;Syntax:  \style{+B}SHOW COLLATION\style{-B}    [LIKE 'pattern' | WHERE expr]The output from \style{+B}SHOW COLLATION\style{-B} includes all available character sets.;
SHOW COLUMNS;Syntax:  SHOW [FULL] COLUMNS FROM tbl_name [FROM db_name]    [LIKE 'pattern' | WHERE expr]\style{+B}SHOW COLUMNS\style{-B} displays information about the columns in a given table.;
SHOW CONTRIBUTORS;Syntax:  \style{+B}SHOW CONTRIBUTORS\style{-B}The \style{+B}SHOW CONTRIBUTORS\style{-B} statement displays information about the peoplewho contribute to MySQL source or to causes that MySQL AB supports.;
SHOW CREATE DATABASE;Syntax:  SHOW CREATE {DATABASE | SCHEMA} db_nameShows the CREATE DATABASE statement that creates the given database.;
SHOW CREATE EVENT;Syntax:  \style{+B}SHOW CREATE EVENT\style{-B} event_nameThis statement displays the CREATE EVENT statement needed to re-createa given event.;
SHOW CREATE PROCEDURE;Syntax:  SHOW CREATE {PROCEDURE | FUNCTION} sp_nameThese statements are MySQL extensions.;
SHOW CREATE TABLE;Syntax:  \style{+B}SHOW CREATE TABLE\style{-B} tbl_nameShows the CREATE TABLE statement that creates the given table.;
SHOW CREATE TRIGGER;Syntax:  \style{+B}SHOW CREATE TRIGGER\style{-B} trigger_nameThis statement shows a CREATE TRIGGER statement that creates the giventrigger.;
SHOW CREATE VIEW;Syntax:  \style{+B}SHOW CREATE VIEW\style{-B} view_nameThis statement shows a CREATE VIEW statement that creates the givenview.;
SHOW DATABASES;Syntax:  SHOW {DATABASES | SCHEMAS}    [LIKE 'pattern' | WHERE expr]\style{+B}SHOW DATABASES\style{-B} lists the databases on the MySQL server host.;
SHOW ENGINE;Syntax:  \style{+B}SHOW ENGINE\style{-B} engine_name {STATUS | MUTEX}\style{+B}SHOW ENGINE\style{-B} displays operational information about a storage engine.;
SHOW ENGINES;Syntax:  SHOW [STORAGE] ENGINES\style{+B}SHOW ENGINES\style{-B} displays status information about the server's storageengines.;
SHOW ERRORS;Syntax:  \style{+B}SHOW ERRORS\style{-B} [LIMIT [offset,] row_count]SHOW COUNT(*) ERRORSThis statement is similar to SHOW WARNINGS, except that instead ofdisplaying errors, warnings, and notes, it displays only errors.;
SHOW GRANTS;Syntax:  \style{+B}SHOW GRANTS\style{-B} [FOR user]This statement lists the GRANT statement or statements that must beissued to duplicate the privileges that are granted to a MySQL useraccount.;
SHOW INDEX;Syntax:  \style{+B}SHOW INDEX\style{-B} FROM tbl_name [FROM db_name]\style{+B}SHOW INDEX\style{-B} returns table index information.;
SHOW INNODB STATUS;Syntax:  \style{+B}SHOW INNODB STATUS\style{-B}In MySQL 5.;
SHOW MASTER STATUS;Syntax:  \style{+B}SHOW MASTER STATUS\style{-B}Provides status information about the binary log files of the master.;
SHOW OPEN TABLES;Syntax:  \style{+B}SHOW OPEN TABLES\style{-B} [FROM db_name]    [LIKE 'pattern' | WHERE expr]\style{+B}SHOW OPEN TABLES\style{-B} lists the non-TEMPORARY tables that are currently openin the table cache.;
SHOW PLUGINS;Syntax:  \style{+B}SHOW PLUGINS\style{-B}\style{+B}SHOW PLUGINS\style{-B} displays information about known plugins.;
SHOW PRIVILEGES;Syntax:  \style{+B}SHOW PRIVILEGES\style{-B}\style{+B}SHOW PRIVILEGES\style{-B} shows the list of system privileges that the MySQLserver supports.;
SHOW PROCEDURE CODE;Syntax:  SHOW {PROCEDURE | FUNCTION} CODE sp_nameThese statements are MySQL extensions that are available only forservers that have been built with debugging support.;
SHOW PROCEDURE STATUS;Syntax:  SHOW {PROCEDURE | FUNCTION} STATUS    [LIKE 'pattern' | WHERE expr]These statements are MySQL extensions.;
SHOW PROCESSLIST;Syntax:  SHOW [FULL] PROCESSLIST\style{+B}SHOW PROCESSLIST\style{-B} shows you which threads are running.;
SHOW PROFILES;Syntax:  \style{+B}SHOW PROFILES\style{-B}SHOW PROFILE [type [, type] .;
SHOW SLAVE HOSTS;Syntax:  \style{+B}SHOW SLAVE HOSTS\style{-B}Displays a list of replication slaves currently registered with themaster.;
SHOW SLAVE STATUS;Syntax:  \style{+B}SHOW SLAVE STATUS\style{-B}This statement provides status information on essential parameters ofthe slave threads.;
SHOW STATUS;Syntax:  SHOW [GLOBAL | SESSION] STATUS    [LIKE 'pattern' | WHERE expr]\style{+B}SHOW STATUS\style{-B} provides server status information.;
